タイトル,あらすじ,ジャンル
パーフェクト・レボリューション,障害者の性への理解を社会に訴える車椅子の活動家と、人格障害を抱える風俗嬢。そんな2人が障害や偏見を乗り越えて、幸せを手に入れようとするラブストーリー。,ラブロマンス
トマトのしずく,ヘアサロンを経営するさくらと真は、結婚パーティーにさくらの父を呼ぶかどうかで口論に。互いに素直になれない父と娘は、ある理由で長らく疎遠になっていた。,国内映画
仁光の受難,謎めいた雰囲気と妖しいほどの魅力で周囲を虜にしてしまう仁光。人を惑わす自らの不徳と、次々と浮かぶ不浄なイメージを拭い去るため、己を見つめ直す旅に出る。,国内映画
吉田類の｢今宵、ほろ酔い酒場で｣,変装してやって来た超人気アイドル、珍客に振り回されるサラリーマン、故郷の名酒を口にして子供時代を思い出す会社社長。3つの居酒屋が舞台の人情オムニバス。,国内映画
サクラダリセット 後篇,能力者が集う町、咲良田。2年前、1人の女子高生が命を落とした事件は謎に包まれたまま。咲良田の未来をかけ、真相を究明すべく、同級生たちが立ち上がる。,ミステリー
海辺の生と死,昭和19年12月、奄美群島カゲロウ島。太平洋戦争末期を背景に、国民学校の女教師と海軍特攻艇の隊長の出会いと、はかない恋の一瞬のきらめきを描く。,ラブロマンス
高校愚連隊,廣瀬翔太は無敵の最強番長。そんな彼に憧れ、彼を目指す他校の不良たちによるケンカが過熱していく。そして翔太は警察から、1年間街を離れるよう促される。,国内アクション・アドベンチャー
血を吸う粘土,芸大進学を目指す香織は、ある日作品制作のために粘土を準備する。だがその粘土に込められた怨念が、香織の作品を、血を吸い人を襲う恐ろしい怪物に変えていき…。,ティーン向けホラー
アヤメくんののんびり肉食日誌,恐竜を愛するアヤメと、骨に夢中な理系女子大生の椿。ひかれあう2人の恋は成就するかに思えたが、アヤメの幼なじみや研究室の先輩が恋敵となる四角関係に発展!,ラブロマンス
彼女の人生は間違いじゃない,震災による津波で母を亡くしたみゆき。週末になると、日常を離れて高速バスで東京に出て、デリヘルのアルバイト。福島と東京を行き来する中、車窓から見た光とは?,ヒューマンドラマ
エルネスト,医師を目指してキューバに留学中、革命家チェ・ゲバラと出会ったボリビアの日系2世。革命戦士として祖国のために戦った若き日系人の知られざる生涯が今語られる。,実話に基づくヒューマンドラマ
ゾウを撫でる,映画監督の神林は若手が手がけた脚本を使い、15年ぶりに新作を撮ることに。携わる人々の人生が幾重にも重なり合い、様々な人間模様を描きながら映画が作られる。,ヒューマンドラマ
チャットゾーン,アパレル店勤務の奏子は、夜はチャットレディをして夢を追う資金を貯めている。やがて、昼と夜の生活がもつれてきてしまい、奏子は進むべき道の選択を迫られる。,ラブロマンス
シン・ゴジラ,東京湾に現れた巨大生物が東京に上陸し、その猛威の前に打つ手を失う日本政府。全てが破壊し尽くされる前に巨大生物の弱点を見つけなければ、日本に未来はない。,日本アカデミー賞受賞映画
聲の形,小学校で、耳の聞こえない転校生の女の子をいじめてしまった少年。罪の意識にさいなまれながらも、やり直したいと思う少年は、高校生になった少女を訪ねる。,日本アカデミー賞受賞映画
GANTZ:O,あの世からなぜか蘇った死んだはずの人間たち。東京と大阪の街でハイテク武器を手に、力を合わせて謎の星人軍団と終わらない激しい戦闘をくり広げる。,国内SF・ファンタジー
